file,r2,error
863609060548991.csv,0.7878594425211968,
863609060549064.csv,0.7815065434667026,
863609060549072.csv,0.5955151850579834,
863609060549098.csv,0.4692046839698606,
863609060549163.csv,0.5255699638068836,
863609060553744.csv,0.7421487696001192,
863609060555335.csv,0.5697240635596237,
863609060555871.csv,0.4320986512842645,
863609060559451.csv,0.4596424636868842,
863609060559592.csv,0.6652221959717701,
863609060562695.csv,0.6144721158190036,
863609060564089.csv,,load_data_error: ['mean_speed']
863609060564410.csv,0.8087109528079945,
863609060567082.csv,0.7778322233272763,
863609060567744.csv,0.8197489923412787,
863609060567785.csv,0.329597071785641,
863609060567827.csv,,load_data_error: ['TRACKS.MUNIC.MDI_OBD_SPEED (km/h)']
863609060568353.csv,0.7515293265739086,
863609060568361.csv,0.48092830268453324,
863609060568601.csv,0.4454661342528353,
863609060568791.csv,0.435742133166071,
863609060574518.csv,0.5334521566303971,
863609060574526.csv,0.5657732430991709,
863609060574567.csv,0.6931991164800411,
863609060574583.csv,0.544800956157593,
863609060574609.csv,0.6479897640053656,
863609060574633.csv,0.6519104155806988,
863609060574765.csv,0.533374380964595,
863609060584681.csv,0.6482743485938117,
863609060584707.csv,0.8507667373236074,
863609060586199.csv,,"load_data_error: time data ""2025-09-16 04:08:18"" doesn't match format ""%Y-%m-%d %H:%M:%S.%f"", at position 16666. You might want to try:
    - passing `format` if your strings have a consistent format;
    - passing `format='ISO8601'` if your strings are all ISO8601 but not necessarily in exactly the same format;
    - passing `format='mixed'`, and the format will be inferred for each element individually. You might want to use `dayfirst` alongside this."
863609060586827.csv,0.70249157931494,
863609060587957.csv,0.6424360621733038,
863609060589482.csv,0.6887184633949119,
863609060591363.csv,0.4098639023279471,
863609060591546.csv,0.6635918833726001,
863609060593054.csv,0.44875504395025245,
863609060593237.csv,0.5306942834686645,
863609060596545.csv,0.5607671154915455,
863609060596636.csv,0.5733631490853048,
863609060596818.csv,0.5870381343000238,
863609060602350.csv,0.636268594756946,
863609060603143.csv,0.6431919468133158,
863609060604331.csv,0.4930048933567017,
863609060604679.csv,0.66790645245542,
863609060605791.csv,0.7525153735357661,
863609060608993.csv,0.40731276604186706,
863609060609694.csv,0.25867322554223215,
863609060609918.csv,,load_data_error: ['TRACKS.MUNIC.MDI_OBD_SPEED (km/h)']
863609060613928.csv,0.589497972916364,
863609060618943.csv,0.805622941847709,
863609060619347.csv,0.5727584453870708,
863609060619370.csv,0.8213257843989025,
863609060620014.csv,0.620113394801397,
863609060621384.csv,0.7932095256037145,
863609060621400.csv,0.7801033422753023,
863609060621509.csv,0.6215938703265205,
863609060621988.csv,0.6972498276284627,
863609060622135.csv,0.8234450746139289,
863609060622994.csv,0.5770466225322188,
863609060627522.csv,0.74217103134753,
863609060627589.csv,0.7272985395413925,
863609060631722.csv,0.6136204923021241,
863609060632787.csv,0.7225554963665353,
863609060636259.csv,0.7153242811272863,
863609060637851.csv,0.7347705287228259,
863609060650847.csv,0.5840230007525435,
863609060652140.csv,0.46352506335995824,
863609060652215.csv,0.6180728049160336,
863609060655457.csv,0.583920805735111,
863609060655507.csv,0.5537961005313139,
863609060662883.csv,0.2804931350197951,
863609060663105.csv,0.4627273541966609,
863609060663246.csv,0.7592767571297661,
863609060663295.csv,,load_data_error: ['TRACKS.MUNIC.MDI_OBD_SPEED (km/h)']
863609060663410.csv,0.5645971112624373,
863609060663543.csv,0.6848887291576577,
863609060665449.csv,0.6567987707690187,
863609060668781.csv,0.6445360635815118,
863609060669698.csv,0.5468092844099075,
863609060673245.csv,0.5574327461409982,
863609060685116.csv,0.4624269641044426,
863609060685587.csv,0.646232347188577,
863609060685645.csv,0.43129200621490404,
863609060686387.csv,0.4205208548506637,
863609060686429.csv,,load_data_error: ['TRACKS.MUNIC.MDI_OBD_SPEED (km/h)']
863609060686809.csv,0.5695727465685556,
863609060687732.csv,0.49472738877140565,
863609060687898.csv,0.7557171347188089,
863609060689472.csv,0.6000946678028534,
863609060691288.csv,0.5885983494638831,
863609060693839.csv,,load_data_error: ['TRACKS.MUNIC.MDI_OBD_SPEED (km/h)']
863609060693854.csv,0.7885705820099892,
863609060696972.csv,0.6331706864327458,
863609060700014.csv,0.6512824966844122,
863609060700279.csv,0.583381308168828,
863609060700725.csv,0.7804809250844181,
863609060701145.csv,0.4916353567209396,
863609060701863.csv,0.7401361812670155,
863609060701970.csv,0.7004900366068773,
863609060702077.csv,0.4988444686299096,
863609060702150.csv,0.6506143552092725,
863609060702218.csv,0.5012643930809659,
863609060705799.csv,0.5907993324601317,
863609060717570.csv,0.28369459204329794,
